linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB22,C00618371,SB22.4904,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-02-19,36810811.75,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00618371,SB22.4892,COM,REPUBLICAN NATIONAL COMMITTEE,,,,,,310 FIRST STREET SE,,WASHINGTON,DC,20003,,2021-01-08,6771088.4,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2022
SB22,C00618371,SB22.4903,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-03-05,5192501.24,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00618371,SB22.4816,CCM,"DONALD J. TRUMP FOR PRESIDENT, INC.",,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-02-19,5078528.75,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00618371,SB22.4902,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-03-31,4989793.45,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00618371,SB22.5109,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-06-30,3543940.04,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00618371,SB22.4901,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-05-28,3311112.94,TRANSFER OF NET PROCEEDS,,,2022
SB21B,C00618371,SB21B.4899,ORG,"SALESFORCE.COM, INC",,,,,,415 MISSION STREET,3RD FLOOR,SAN FRANCISCO,CA,94105,,2021-01-07,2650000.0,EMAIL SERVICES,,,2022
SB22,C00618371,SB22.4815,CCM,"DONALD J. TRUMP FOR PRESIDENT, INC.",,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-03-31,721605.19,TRANSFER OF NET PROCEEDS,,,2022
SB21B,C00618371,SB21B.4888,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-01-06,470864.73,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4798,ORG,"AMERICAN MADE MEDIA CONSULTANTS, LLC",,,,,,P.O. BOX 13410,,ARLINGTON,VA,22219,,2021-02-25,300482.49,DIGITAL LIST RENTAL SERVICES,,,2022
SB21B,C00618371,SB21B.5072,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-01-07,250589.13,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4810,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-02-01,225936.66,DATA MANAGEMENT SERVICE,,,2022
SB21B,C00618371,SB21B.4797,ORG,"AMERICAN MADE MEDIA CONSULTANTS, LLC",,,,,,P.O. BOX 13410,,ARLINGTON,VA,22219,,2021-01-06,222355.21,SMS ADVERTISING,,,2022
SB21B,C00618371,SB21B.5071,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-01-27,212557.13,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4887,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-28,210000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4885,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-02-12,210000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4886,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-28,210000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4884,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-01-07,210000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4796,ORG,"AMERICAN MADE MEDIA CONSULTANTS, LLC",,,,,,P.O. BOX 13410,,ARLINGTON,VA,22219,,2021-01-26,141181.46,SMS ADVERTISING,,,2022
SB21B,C00618371,SB21B.5070,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-01-05,126568.32,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.5069,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-01-06,119613.42,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4883,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-02-03,116194.3,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4882,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-01-28,115832.0,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4881,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-03-08,105743.9,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4879,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-05-12,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4880,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-06-21,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.5068,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-01-08,98394.9,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4809,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-04-02,95921.43,DATA MANAGEMENT SERVICE,,,2022
SB22,C00618371,SB22.4891,COM,REPUBLICAN NATIONAL COMMITTEE,,,,,,310 FIRST STREET SE,,WASHINGTON,DC,20003,,2021-02-22,95130.0,TRANSFER OF NET PROCEEDS - LEGAL PROCEEDINGS ACCOUNT,,,2022
SB21B,C00618371,SB21B.4878,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-07,91049.27,DATA PROCESSING SERVICES,,,2022
