linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00618389,SB21B.113797,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,20001,,2021-09-14,46327.53,LEGAL CONSULTING,,,2022
SB21B,C00618389,SB21B.113798,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,20001,,2021-10-20,38881.07,LEGAL CONSULTING,,,2022
SB21B,C00618389,SB21B.113800,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,20001,,2021-12-08,24486.21,LEGAL CONSULTING,,,2022
SB21B,C00618389,SB21B.113789,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,2021-07-02,5000.0,DATA SERVICES,,,2022
SB21B,C00618389,SB21B.113793,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,2021-10-05,5000.0,DATA SERVICES,,,2022
SB21B,C00618389,SB21B.113792,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,2021-09-09,5000.0,DATA SERVICES,,,2022
SB21B,C00618389,SB21B.113791,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,2021-08-04,5000.0,DATA SERVICES,,,2022
SB21B,C00618389,SB21B.113795,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,2021-12-08,5000.0,DATA SERVICES,,,2022
SB21B,C00618389,SB21B.113794,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,2021-11-05,5000.0,DATA SERVICES,,,2022
SB21B,C00618389,SB21B.113799,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,20001,,2021-11-18,2970.0,LEGAL CONSULTING,,,2022
SB21B,C00618389,SB21B.113790,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,20001,,2021-07-21,1485.0,LEGAL CONSULTING,,,2022
SB21B,C00618389,SB21B.113801,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,2021-07-01,1.7,MERCHANT FEES,,,2022
