linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB22,C00770941,SB22.4268,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-06-30,3368595.51,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00770941,SB22.4265,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-04-19,2456844.22,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00770941,SB22.4266,PAC,SAVE AMERICA,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-05-28,2049918.42,TRANSFER OF NET PROCEEDS,,,2022
SB21B,C00770941,SB21B.4262,ORG,"RED SPARK STRATEGY, LLC",,,,,,1922 S POLLARD STREET,,ARLINGTON,VA,22204,,2021-05-27,1985600.84,DIGITAL STRATEGY CONSULTING,,,2022
SB21B,C00770941,SB21B.4275,ORG,"TATANGO, INC.",,,,,,600 STEWART ST SUITE 400,,SEATTLE,WA,98101,,2021-06-16,1000000.0,SMS ADVERTISING,,,2022
SB21B,C00770941,SB21B.4272,ORG,"TATANGO, INC.",,,,,,600 STEWART ST SUITE 400,,SEATTLE,WA,98101,,2021-04-21,508000.0,SMS ADVERTISING,,,2022
SB21B,C00770941,SB21B.4274,ORG,"TATANGO, INC.",,,,,,600 STEWART ST SUITE 400,,SEATTLE,WA,98101,,2021-06-11,504000.0,SMS ADVERTISING,,,2022
SB21B,C00770941,SB21B.4273,ORG,"TATANGO, INC.",,,,,,600 STEWART ST SUITE 400,,SEATTLE,WA,98101,,2021-05-26,500000.0,SMS ADVERTISING,,,2022
SB22,C00770941,SB22.4267,PAC,MAKE AMERICA GREAT AGAIN PAC,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-06-30,374288.39,TRANSFER OF NET PROCEEDS,,,2022
SB21B,C00770941,SB21B.4270,ORG,"SCM ASSOCIATES, INC.",,,,,,"45 MAIN STREET, SUITE 211",PO BOX 3064,PETERBOROUGH,NH,03458,,2021-06-25,280425.0,DIRECT MAIL PRINTING & POSTAGE,,,2022
SB22,C00770941,SB22.4247,PAC,MAKE AMERICA GREAT AGAIN PAC,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-04-19,272982.69,TRANSFER OF NET PROCEEDS,,,2022
SB22,C00770941,SB22.4248,PAC,MAKE AMERICA GREAT AGAIN PAC,,,,,,P.O. BOX 13570,,ARLINGTON,VA,22219,,2021-05-28,227768.71,TRANSFER OF NET PROCEEDS,,,2022
SB21B,C00770941,SB21B.4245,ORG,JAMESTOWN ASSOCIATES,,,,,,421 CHESTNUT ST,,PHILADELPHIA,PA,19106,,2021-06-23,200030.0,PLACED MEDIA,,,2022
SB21B,C00770941,SB21B.4281,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-03-04,142724.03,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4308,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-04-12,123324.53,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4243,ORG,JAMESTOWN ASSOCIATES,,,,,,421 CHESTNUT ST,,PHILADELPHIA,PA,19106,,2021-06-01,100030.0,PLACED MEDIA,,,2022
SB21B,C00770941,SB21B.4242,ORG,JAMESTOWN ASSOCIATES,,,,,,421 CHESTNUT ST,,PHILADELPHIA,PA,19106,,2021-05-17,99980.0,PLACED MEDIA,,,2022
SB21B,C00770941,SB21B.4263,ORG,"RED SPARK STRATEGY, LLC",,,,,,1922 S POLLARD STREET,,ARLINGTON,VA,22204,,2021-06-16,71099.0,DIGITAL STRATEGY CONSULTING,,,2022
SB21B,C00770941,SB21B.4260,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FL,BEVERLY,MA,01915,,2021-06-25,62642.25,DATA PROCESSING SERVICES,,,2022
SB21B,C00770941,SB21B.4346,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-05-10,57145.29,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4382,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-06-04,53649.48,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4254,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FL,BEVERLY,MA,01915,,2021-04-15,52749.0,DATA PROCESSING SERVICES,,,2022
SB21B,C00770941,SB21B.4345,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-05-10,51756.4,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4398,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-06-17,49084.11,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4231,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE NW,STE 500,GRAND RAPIDS,MI,49503,,2021-06-04,47178.45,LIST RENTAL,,,2022
SB21B,C00770941,SB21B.4200,ORG,BCVM SERVICES LLC,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,2021-04-14,44650.0,"DIGITAL CONSULTING, WEBSITE DEVELOPMENT, DESIGN SERVICES & VIDEOGRAPHY",,,2022
SB21B,C00770941,SB21B.4309,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-04-13,40782.83,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4220,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE NW,STE 500,GRAND RAPIDS,MI,49503,,2021-06-17,37671.64,LIST RENTAL,,,2022
SB21B,C00770941,SB21B.4216,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE NW,STE 500,GRAND RAPIDS,MI,49503,,2021-06-10,34199.95,LIST RENTAL,,,2022
SB21B,C00770941,SB21B.4390,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-06-10,33724.76,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4202,ORG,BCVM SERVICES LLC,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,2021-05-12,31798.18,"DIGITAL CONSULTING, WEBSITE DEVELOPMENT, DESIGN SERVICES & VIDEOGRAPHY",,,2022
SB21B,C00770941,SB21B.4394,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-06-14,30487.45,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4198,ORG,BCVM SERVICES LLC,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,2021-03-11,30000.0,DIGITAL CONSULTING & SOFTWARE,,,2022
SB21B,C00770941,SB21B.4203,ORG,BCVM SERVICES LLC,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,2021-06-03,30000.0,DIGITAL CONSULTING & SOFTWARE,,,2022
SB21B,C00770941,SB21B.4201,ORG,BCVM SERVICES LLC,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,2021-05-05,30000.0,DIGITAL CONSULTING & SOFTWARE,,,2022
SB21B,C00770941,SB21B.4199,ORG,BCVM SERVICES LLC,,,,,,1512 E BROWARD BLVD,UNIT 104B,FORT LAUDERDALE,FL,33301,,2021-04-07,30000.0,DIGITAL CONSULTING & SOFTWARE,,,2022
SB21B,C00770941,SB21B.4244,ORG,JAMESTOWN ASSOCIATES,,,,,,421 CHESTNUT ST,,PHILADELPHIA,PA,19106,,2021-06-03,28388.3,VIDEO PRODUCTION SERVICES,,,2022
SB21B,C00770941,SB21B.4344,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-05-07,27266.9,MERCHANT FEES,,,2022
SB21B,C00770941,SB21B.4228,ORG,CONSERVATIVE CONNECTOR,,,,,,190 MONROE NW,STE 500,GRAND RAPIDS,MI,49503,,2021-06-29,26849.91,LIST RENTAL,,,2022
