linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB29,C00580100,SB29.4147,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-07-01,200000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB29,C00580100,SB29.4153,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-12-03,200000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB21B,C00580100,SB21B.4223,ORG,"HARVEY & BINNALL, PLLC",,,,,,717 KING STREET,SUITE 300,ALEXANDRIA,VA,22314,,2021-12-16,181723.67,LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4149,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-09-20,100000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB29,C00580100,SB29.4595,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-08-06,100000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB29,C00580100,SB29.4151,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-11-02,100000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB29,C00580100,SB29.4150,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-10-13,100000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB21B,C00580100,SB21B.4289,ORG,LAROCCA HORNIK ROSEN GREENBERG & BLAHA LLP,,,,,,"40 WALL STREET, 32ND FLOOR",,NEW YORK,NY,10005,,2021-08-20,96548.35,LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4278,ORG,JACKSON KELLY PLLC,,,,,,1099 18TH STREET,SUITE 2150,DENVER,CO,80202,,2021-11-15,82388.84,RECOUNT: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4277,ORG,JACKSON KELLY PLLC,,,,,,1099 18TH STREET,SUITE 2150,DENVER,CO,80202,,2021-10-18,75528.75,RECOUNT: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4217,ORG,"HARVEY & BINNALL, PLLC",,,,,,717 KING STREET,SUITE 300,ALEXANDRIA,VA,22314,,2021-09-14,65825.86,RECOUNT: LEGAL CONSULTING,,,2022
SB21B,C00580100,SB21B.4203,ORG,"ELECTIONS, LLC",,,,,,"1000 MAINE AVE, SW",,WASHINGTON,DC,20024,,2021-09-08,63678.53,LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4276,ORG,JACKSON KELLY PLLC,,,,,,1099 18TH STREET,SUITE 2150,DENVER,CO,80202,,2021-10-05,58944.85,RECOUNT: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4221,ORG,"HARVEY & BINNALL, PLLC",,,,,,717 KING STREET,SUITE 300,ALEXANDRIA,VA,22314,,2021-11-19,58074.02,RECOUNT: LEGAL CONSULTING,,,2022
SB21B,C00580100,SB21B.4365,ORG,"THE MAR-A-LAGO CLUB, LLC",,,,,,1100 SOUTH OCEAN BLVD.,,PALM BEACH,FL,33480,,2021-09-07,52519.77,FACILITY RENTAL/MEETING EXPENSES,,,2022
