linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00618389,SB21B.113548,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-02-12,200000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618389,SB21B.113547,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-01-18,200000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618389,SB21B.113545,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-29,200000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618389,SB21B.113546,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-29,200000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618389,SB21B.113507,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,102853106,,2021-01-19,110285.47,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00618389,SB21B.113544,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-05-13,100000.0,COMPLIANCE CONSULTING,,,2022
SB28A,C00618389,SB28A.113612,IND,,WARREN,KELCY,L,MR.,,811 WESTCHESTER DR,STE 700,DALLAS,TX,75225,,2021-02-10,59853.23,CONTRIBUTION REFUND,,,2022
SB21B,C00618389,SB21B.113711,ORG,FOUR SEASONS LANDSCAPE AND PROPERTY SERVICE,,,,,,24647 ARCH ST,,SANTA CLARITA,CA,91321,,2020-12-15,48515.78,AMEX PMT [SB21B.113507]: EVENT STAGING EXPENSE,X,,2022
SB21B,C00618389,SB21B.113541,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-29,45000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618389,SB21B.113542,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-01-18,45000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618389,SB21B.113543,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-02-12,45000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618389,SB21B.113540,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-04-29,45000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618389,SB21B.113557,ORG,VILLAGE OF BAYSIDE,,,,,,9075 N REGENT RD,,BAYSIDE,WI,53217,,2021-01-18,29802.17,EVENT STAGING EXPENSE,,,2022
